Giocatore,Stagione,Competizione,Club,Convocazioni,Presenze,Punti per match,Goals,Assists,Autogoal,Subentrato,Sostituito,Ammonito,Espulso Doppio Giallo,Espulsione diretta,Gol su rigore,Minuti per Goal,Minuti Giocati
Ciro Immobile,23/24,Serie A,SS Lazio,32,31,1.42,7,1,0,10,16,8,0,0,4,237,1656
Ciro Immobile,23/24,Italy Cup,SS Lazio,3,3,2.0,0,0,0,2,1,0,0,0,0,0,106
Ciro Immobile,23/24,UEFA Champions League,SS Lazio,8,8,1.63,4,0,0,1,6,1,0,0,1,127,507
Ciro Immobile,23/24,Supercoppa Italiana,SS Lazio,1,1,0.0,0,0,0,0,0,0,0,0,0,0,90
Ciro Immobile,22/23,Serie A,SS Lazio,33,31,1.97,12,5,0,4,10,3,0,0,4,185,2225
Ciro Immobile,22/23,Conference L.,SS Lazio,2,2,2.0,1,0,0,0,1,1,0,0,0,151,151
Ciro Immobile,22/23,Italy Cup,SS Lazio,1,1,0.0,0,0,0,0,1,0,0,0,0,0,45
Ciro Immobile,22/23,Europa League,SS Lazio,4,4,1.25,1,2,0,0,3,1,0,0,1,314,314
Ciro Immobile,21/22,Serie A,SS Lazio,31,31,1.77,27,3,0,0,6,4,0,0,7,101,2716
Ciro Immobile,21/22,Europa League,SS Lazio,7,7,1.43,4,1,0,0,3,1,0,0,2,131,523
Ciro Immobile,21/22,Italy Cup,SS Lazio,2,2,1.5,1,0,0,1,1,0,0,0,0,117,117
Ciro Immobile,20/21,Serie A,SS Lazio,35,35,1.91,20,7,0,1,17,4,0,1,4,143,2863
Ciro Immobile,20/21,UEFA Champions League,SS Lazio,6,5,1.6,5,1,0,0,3,0,0,0,3,83,417
Ciro Immobile,20/21,Italy Cup,SS Lazio,1,1,0.0,0,0,0,1,0,0,0,0,0,0,19
Ciro Immobile,19/20,Serie A,SS Lazio,37,37,2.11,36,8,0,1,7,8,0,0,14,88,3176
Ciro Immobile,19/20,Italy Cup,SS Lazio,2,2,1.5,1,0,0,0,1,0,0,0,1,162,162
Ciro Immobile,19/20,Supercoppa Italiana,SS Lazio,1,1,3.0,0,0,0,0,1,0,0,0,0,0,82
Ciro Immobile,19/20,Europa League,SS Lazio,4,4,0.75,2,0,0,1,1,0,0,0,0,133,265
Ciro Immobile,18/19,Serie A,SS Lazio,36,36,1.47,15,6,0,5,4,6,0,0,4,191,2859
Ciro Immobile,18/19,Italy Cup,SS Lazio,5,5,2.6,3,2,0,0,2,1,0,0,0,149,447
Ciro Immobile,18/19,Europa League,SS Lazio,5,5,1.8,1,4,0,1,0,2,0,0,1,388,388
Ciro Immobile,17/18,Serie A,SS Lazio,33,33,2.0,29,8,0,0,11,3,0,1,7,93,2696
Ciro Immobile,17/18,Europa League,SS Lazio,9,9,2.11,8,1,0,4,2,2,0,0,0,73,582
Ciro Immobile,17/18,Italy Cup,SS Lazio,4,4,1.75,2,0,0,1,1,0,0,0,0,179,357
Ciro Immobile,17/18,Supercoppa Italiana,SS Lazio,1,1,3.0,2,0,0,0,0,1,0,0,1,45,90
Ciro Immobile,16/17,Serie A,SS Lazio,36,36,1.86,23,3,0,1,6,5,0,0,6,136,3123
Ciro Immobile,16/17,Italy Cup,SS Lazio,5,5,1.8,3,2,0,1,0,0,0,0,0,131,394
Ciro Immobile,15/16,Serie A,Torino FC,14,14,0.79,5,4,0,3,4,2,0,0,2,197,986
Ciro Immobile,15/16,Copa del Rey,Sevilla FC,3,3,3.0,2,0,0,0,1,0,0,0,0,122,244
Ciro Immobile,15/16,LaLiga,Sevilla FC,13,8,1.5,2,0,0,4,4,2,0,0,0,167,334
Ciro Immobile,15/16,UEFA Champions League,Sevilla FC,4,3,1.0,0,0,0,3,0,0,0,0,0,0,69
Ciro Immobile,15/16,UEFA Super Cup,Sevilla FC,1,1,0.0,0,1,0,1,0,1,0,0,0,0,40
Ciro Immobile,14/15,DFB-Pokal,Borussia Dortmund,5,3,2.0,3,1,0,1,0,0,0,0,0,64,191
Ciro Immobile,14/15,Bundesliga,Borussia Dortmund,32,24,1.13,3,1,0,15,3,1,0,0,0,319,957
Ciro Immobile,14/15,UEFA Champions League,Borussia Dortmund,8,6,1.67,4,0,0,1,4,0,0,0,0,101,404
Ciro Immobile,14/15,DFL-Supercup,Borussia Dortmund,1,1,3.0,0,0,0,0,0,0,0,0,0,0,90
Ciro Immobile,13/14,Serie A,Torino FC,33,33,1.48,22,3,0,4,8,10,1,0,0,118,2589
Ciro Immobile,13/14,Italy Cup,Torino FC,1,1,0.0,1,0,0,0,0,1,0,0,0,90,90
Ciro Immobile,12/13,Serie A,Genoa CFC,37,33,0.91,5,3,0,12,7,5,0,0,0,404,2020
Ciro Immobile,12/13,Italy Cup,Genoa CFC,1,1,0.0,0,0,0,1,0,0,0,0,0,0,44
Ciro Immobile,11/12,Serie B,Delfino Pescara 1936,37,37,1.92,28,7,0,1,12,6,0,0,5,107,3006
Ciro Immobile,10/11,Serie B,US Grosseto FC,17,16,1.31,1,0,0,6,9,0,0,0,0,819,819
Ciro Immobile,10/11,Serie B,AC Siena,11,4,2.5,1,0,0,3,1,0,0,1,0,125,125
Ciro Immobile,10/11,Italy Cup,AC Siena,2,2,1.5,1,0,0,1,1,0,0,0,0,76,76
Ciro Immobile,10/11,Primavera C,AC Siena U19,2,2,3.0,2,0,0,0,0,0,0,0,0,90,180
Ciro Immobile,09/10,Primavera Fase Finale,Juventus Primavera,2,2,0.5,2,0,0,0,0,2,0,0,0,90,180
Ciro Immobile,09/10,Primavera A,Juventus Primavera,13,13,2.54,13,0,0,0,1,0,0,0,4,89,1153
Ciro Immobile,09/10,Serie A,Juventus FC,7,2,1.5,0,0,0,2,0,0,0,0,0,0,8
Ciro Immobile,09/10,Viareggio Cup,Juventus Primavera,7,6,3.0,10,0,0,0,5,1,0,0,4,46,455
Ciro Immobile,09/10,Italy Cup,Juventus FC,1,1,3.0,0,0,0,1,0,0,0,0,0,0,5
Ciro Immobile,09/10,UEFA Champions League,Juventus FC,2,1,0.0,0,0,0,1,0,0,0,0,0,0,22
Ciro Immobile,08/09,Primavera Fase Finale,Juventus Primavera,3,3,2.0,2,0,0,0,1,0,0,0,0,119,237
Ciro Immobile,08/09,Primavera A,Juventus Primavera,23,23,2.26,11,0,0,2,4,2,0,0,0,169,1857
Ciro Immobile,08/09,Serie A,Juventus FC,2,1,3.0,0,0,0,1,0,0,0,0,0,0,1
Ciro Immobile,08/09,Viareggio Cup,Juventus Primavera,7,7,2.71,4,1,0,0,1,2,0,0,0,159,635
Ciro Immobile,07/08,Primavera A,Juventus Primavera,1,1,3.0,0,0,0,1,0,0,0,0,0,0,15
Ciro Immobile,06/07,Supercoppa C2,Sorrento Calcio,1,1,3.0,0,0,0,1,0,0,0,0,0,0,45
Ciro Immobile,06/07,Serie C2 - C,Sorrento Calcio,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0
